!SIL	SIL
<SPOKEN_NOISE>	SPN
구분	f0 m13 f7 m13 e3
구분되었습니다	f0 m13 f7 m13 e3 f3 m11 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
구분된	f0 m13 f7 m13 e3 f3 m11 e3
구분을	f0 m13 f7 m13 e3 f11 m18 e7
구분이	f0 m13 f7 m13 e3 f11 m20
구분이에요	f0 m13 f7 m13 e3 f11 m20 f11 m5 f11 m12
구분입니다	f0 m13 f7 m13 e3 f11 m20 e16 f2 m20 f3 m0
구분하	f0 m13 f7 m13 e3 f18 m0
구분할까요	f0 m13 f7 m13 e3 f18 m0 e7 f1 m0 f11 m12
구분합니다	f0 m13 f7 m13 e3 f18 m0 e16 f2 m20 f3 m0
구분해볼래	f0 m13 f7 m13 e3 f18 m1 f7 m8 e7 f5 m1
구분해봐	f0 m13 f7 m13 e3 f18 m1 f7 m9
구분해서	f0 m13 f7 m13 e3 f18 m1 f9 m4
구분해줄래	f0 m13 f7 m13 e3 f18 m1 f12 m13 e7 f5 m1
구분해줘	f0 m13 f7 m13 e3 f18 m1 f12 m14
구분해줘야돼	f0 m13 f7 m13 e3 f18 m1 f12 m14 f11 m2 f3 m10
구분했습니다	f0 m13 f7 m13 e3 f18 m1 e19 f9 m18 e16 f2 m20 f3 m0
구뽀인트	f0 m13 f8 m8 f11 m20 e3 f16 m18
구뽀인트입니다	f0 m13 f8 m8 f11 m20 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
구상	f0 m13 f9 m0 e20
구서	f0 m13 f9 m4
구석에	f0 m13 f9 m4 e0 f11 m5
구석이	f0 m13 f9 m4 e0 f11 m20
구선수	f0 m13 f9 m4 e3 f9 m13
구성이	f0 m13 f9 m4 e20 f11 m20
구성입니다	f0 m13 f9 m4 e20 f11 m20 e16 f2 m20 f3 m0
구성지구	f0 m13 f9 m4 e20 f12 m20 f0 m13
구속	f0 m13 f9 m8 e0
구속된	f0 m13 f9 m8 e0 f3 m11 e3
구속이	f0 m13 f9 m8 e0 f11 m20
구속입니다	f0 m13 f9 m8 e0 f11 m20 e16 f2 m20 f3 m0
구시에	f0 m13 f9 m20 f11 m5
구실을	f0 m13 f9 m20 e7 f11 m18 e7
구십	f0 m13 f9 m20 e16
구십개입니다	f0 m13 f9 m20 e16 f0 m1 f11 m20 e16 f2 m20 f3 m0
구십도	f0 m13 f9 m20 e16 f3 m8
구십도로	f0 m13 f9 m20 e16 f3 m8 f5 m8
구십도만	f0 m13 f9 m20 e16 f3 m8 f6 m0 e3
구십만원입니다	f0 m13 f9 m20 e16 f6 m0 e3 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
구십원이에요	f0 m13 f9 m20 e16 f11 m14 e3 f11 m20 f11 m5 f11 m12
구십원입니다	f0 m13 f9 m20 e16 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
구십으로	f0 m13 f9 m20 e16 f11 m18 f5 m8
구십이에요	f0 m13 f9 m20 e16 f11 m20 f11 m5 f11 m12
구십일	f0 m13 f9 m20 e16 f11 m20 e7
구십입니다	f0 m13 f9 m20 e16 f11 m20 e16 f2 m20 f3 m0
구십쩜	f0 m13 f9 m20 e16 f13 m4 e15
구십퍼센트	f0 m13 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18
구십퍼센트에요	f0 m13 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f11 m5 f11 m12
구십퍼센트의	f0 m13 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f11 m19
구십퍼센트입니다	f0 m13 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
구십퍼센트정도입니다	f0 m13 f9 m20 e16 f17 m4 f9 m5 e3 f16 m18 f12 m4 e20 f3 m8 f11 m20 e16 f2 m20 f3 m0
구야	f0 m13 f11 m2
구억부지	f0 m13 f11 m4 e0 f7 m13 f12 m20
구억원이에요	f0 m13 f11 m4 e0 f11 m14 e3 f11 m20 f11 m5 f11 m12
구억원입니다	f0 m13 f11 m4 e0 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
구억이에요	f0 m13 f11 m4 e0 f11 m20 f11 m5 f11 m12
구억입니다	f0 m13 f11 m4 e0 f11 m20 e16 f2 m20 f3 m0
구에	f0 m13 f11 m5
구에요	f0 m13 f11 m5 f11 m12
구엔이에요	f0 m13 f11 m5 e3 f11 m20 f11 m5 f11 m12
구엔입니다	f0 m13 f11 m5 e3 f11 m20 e16 f2 m20 f3 m0
구와	f0 m13 f11 m9
구운	f0 m13 f11 m13 e3
구워줘	f0 m13 f11 m14 f12 m14
구원을	f0 m13 f11 m14 e3 f11 m18 e7
구원이	f0 m13 f11 m14 e3 f11 m20
구원이에요	f0 m13 f11 m14 e3 f11 m20 f11 m5 f11 m12
구원입니다	f0 m13 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
구월	f0 m13 f11 m14 e7
구월달	f0 m13 f11 m14 e7 f3 m0 e7
구월달에	f0 m13 f11 m14 e7 f3 m0 e7 f11 m5
구월부터	f0 m13 f11 m14 e7 f7 m13 f16 m4
구월은	f0 m13 f11 m14 e7 f11 m18 e3
구위입니다	f0 m13 f11 m16 f11 m20 e16 f2 m20 f3 m0
구윤모	f0 m13 f11 m17 e3 f6 m8
구의	f0 m13 f11 m19
구이거든	f0 m13 f11 m20 f0 m4 f3 m18 e3
구일	f0 m13 f11 m20 e7
구일과	f0 m13 f11 m20 e7 f0 m9
구일까지	f0 m13 f11 m20 e7 f1 m0 f12 m20
구일까지야	f0 m13 f11 m20 e7 f1 m0 f12 m20 f11 m2
구일까지에요	f0 m13 f11 m20 e7 f1 m0 f12 m20 f11 m5 f11 m12
구일까지입니다	f0 m13 f11 m20 e7 f1 m0 f12 m20 f11 m20 e16 f2 m20 f3 m0
구일날	f0 m13 f11 m20 e7 f2 m0 e7
구일도착	f0 m13 f11 m20 e7 f3 m8 f14 m0 e0
구일로	f0 m13 f11 m20 e7 f5 m8
구일부터	f0 m13 f11 m20 e7 f7 m13 f16 m4
구일부터에요	f0 m13 f11 m20 e7 f7 m13 f16 m4 f11 m5 f11 m12
구일에	f0 m13 f11 m20 e7 f11 m5
구일역	f0 m13 f11 m20 e7 f11 m6 e0
구일이라고	f0 m13 f11 m20 e7 f11 m20 f5 m0 f0 m8
구일이야	f0 m13 f11 m20 e7 f11 m20 f11 m2
구일이에요	f0 m13 f11 m20 e7 f11 m20 f11 m5 f11 m12
구일입니다	f0 m13 f11 m20 e7 f11 m20 e16 f2 m20 f3 m0
구입	f0 m13 f11 m20 e16
구입니다	f0 m13 f11 m20 e16 f2 m20 f3 m0
구입이	f0 m13 f11 m20 e16 f11 m20
구입하려고	f0 m13 f11 m20 e16 f18 m0 f5 m6 f0 m8
구입한	f0 m13 f11 m20 e16 f18 m0 e3
구입할꺼거든	f0 m13 f11 m20 e16 f18 m0 e7 f1 m4 f0 m4 f3 m18 e3
구입해야겠다	f0 m13 f11 m20 e16 f18 m1 f11 m2 f0 m5 e19 f3 m0
구입해야돼	f0 m13 f11 m20 e16 f18 m1 f11 m2 f3 m10
구입했다고	f0 m13 f11 m20 e16 f18 m1 e19 f3 m0 f0 m8
구입했어	f0 m13 f11 m20 e16 f18 m1 e19 f11 m4
구재성과의	f0 m13 f12 m1 f9 m4 e20 f0 m9 f11 m19
구정	f0 m13 f12 m4 e20
구정때	f0 m13 f12 m4 e20 f4 m1
구정때는	f0 m13 f12 m4 e20 f4 m1 f2 m18 e3
구정때도	f0 m13 f12 m4 e20 f4 m1 f3 m8
구정에	f0 m13 f12 m4 e20 f11 m5
구정은	f0 m13 f12 m4 e20 f11 m18 e3
구정이	f0 m13 f12 m4 e20 f11 m20
구조	f0 m13 f12 m8
구조단	f0 m13 f12 m8 f3 m0 e3
구조조정	f0 m13 f12 m8 f12 m8 f12 m4 e20
구조조정만이	f0 m13 f12 m8 f12 m8 f12 m4 e20 f6 m0 e3 f11 m20
구종목이에요	f0 m13 f12 m8 e20 f6 m8 e0 f11 m20 f11 m5 f11 m12
구종목입니다	f0 m13 f12 m8 e20 f6 m8 e0 f11 m20 e16 f2 m20 f3 m0
구주만에	f0 m13 f12 m13 f6 m0 e3 f11 m5
구직자	f0 m13 f12 m20 e0 f12 m0
구쩜	f0 m13 f13 m4 e15
구차	f0 m13 f14 m0
구천	f0 m13 f14 m4 e3
구천만원이에요	f0 m13 f14 m4 e3 f6 m0 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
구천억원으로	f0 m13 f14 m4 e3 f11 m4 e0 f11 m14 e3 f11 m18 f5 m8
구천원이에요	f0 m13 f14 m4 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
구천원입니다	f0 m13 f14 m4 e3 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
구천입니다	f0 m13 f14 m4 e3 f11 m20 e16 f2 m20 f3 m0
구첨	f0 m13 f14 m4 e15
구체적으로	f0 m13 f14 m5 f12 m4 e0 f11 m18 f5 m8
구체적인	f0 m13 f14 m5 f12 m4 e0 f11 m20 e3
구축	f0 m13 f14 m13 e0
구축이	f0 m13 f14 m13 e0 f11 m20
구축입니다	f0 m13 f14 m13 e0 f11 m20 e16 f2 m20 f3 m0
구출	f0 m13 f14 m13 e7
구키로미터부근	f0 m13 f15 m20 f5 m8 f6 m20 f16 m4 f7 m13 f0 m18 e3
구킬로미터	f0 m13 f15 m20 e7 f5 m8 f6 m20 f16 m4
구타	f0 m13 f16 m0
구타입니다	f0 m13 f16 m0 f11 m20 e16 f2 m20 f3 m0
구태여	f0 m13 f16 m1 f11 m6
구퍼센트	f0 m13 f17 m4 f9 m5 e3 f16 m18
구퍼센트로	f0 m13 f17 m4 f9 m5 e3 f16 m18 f5 m8
구퍼센트에요	f0 m13 f17 m4 f9 m5 e3 f16 m18 f11 m5 f11 m12
구포인트	f0 m13 f17 m8 f11 m20 e3 f16 m18
구포인트가	f0 m13 f17 m8 f11 m20 e3 f16 m18 f0 m0
구포인트상승입니다	f0 m13 f17 m8 f11 m20 e3 f16 m18 f9 m0 e20 f9 m18 e20 f11 m20 e16 f2 m20 f3 m0
구포인트에요	f0 m13 f17 m8 f11 m20 e3 f16 m18 f11 m5 f11 m12
구포인트입니다	f0 m13 f17 m8 f11 m20 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
구포인트하락이에요	f0 m13 f17 m8 f11 m20 e3 f16 m18 f18 m0 f5 m0 e0 f11 m20 f11 m5 f11 m12
구포인틉니다	f0 m13 f17 m8 f11 m20 e3 f16 m18 e16 f2 m20 f3 m0
구프로	f0 m13 f17 m18 f5 m8
구하기	f0 m13 f18 m0 f0 m20
구하는	f0 m13 f18 m0 f2 m18 e3
구할	f0 m13 f18 m0 e7
구해	f0 m13 f18 m1
구호	f0 m13 f18 m8
국	f0 m13 e0
국가	f0 m13 e0 f0 m0
국가가	f0 m13 e0 f0 m0 f0 m0
국가기간	f0 m13 e0 f0 m0 f0 m20 f0 m0 e3
국가기관	f0 m13 e0 f0 m0 f0 m20 f0 m9 e3
국가는	f0 m13 e0 f0 m0 f2 m18 e3
국가대표로	f0 m13 e0 f0 m0 f3 m1 f17 m12 f5 m8
국가배상	f0 m13 e0 f0 m0 f7 m1 f9 m0 e20
국가보안법	f0 m13 e0 f0 m0 f7 m8 f11 m0 e3 f7 m4 e16
국가에	f0 m13 e0 f0 m0 f11 m5
국가의	f0 m13 e0 f0 m0 f11 m19
국가정체성	f0 m13 e0 f0 m0 f12 m4 e20 f14 m5 f9 m4 e20
국내	f0 m13 e0 f2 m1
국내가수	f0 m13 e0 f2 m1 f0 m0 f9 m13
국내가수가	f0 m13 e0 f2 m1 f0 m0 f9 m13 f0 m0
국내가수나	f0 m13 e0 f2 m1 f0 m0 f9 m13 f2 m0
국내가수는	f0 m13 e0 f2 m1 f0 m0 f9 m13 f2 m18 e3
국내가수로	f0 m13 e0 f2 m1 f0 m0 f9 m13 f5 m8
국내가수를	f0 m13 e0 f2 m1 f0 m0 f9 m13 f5 m18 e7
국내가수와	f0 m13 e0 f2 m1 f0 m0 f9 m13 f11 m9
국내가요	f0 m13 e0 f2 m1 f0 m0 f11 m12
국내가요에서	f0 m13 e0 f2 m1 f0 m0 f11 m12 f11 m5 f9 m4
국내로	f0 m13 e0 f2 m1 f5 m8
국내무대부위	f0 m13 e0 f2 m1 f6 m13 f3 m1 f7 m13 f11 m16
국내선	f0 m13 e0 f2 m1 f9 m4 e3
국내에	f0 m13 e0 f2 m1 f11 m5
국내에는	f0 m13 e0 f2 m1 f11 m5 f2 m18 e3
국내에서	f0 m13 e0 f2 m1 f11 m5 f9 m4
국내유가는	f0 m13 e0 f2 m1 f11 m17 f0 m0 f2 m18 e3
국내유는	f0 m13 e0 f2 m1 f11 m17 f2 m18 e3
국내의	f0 m13 e0 f2 m1 f11 m19
국내항공사의	f0 m13 e0 f2 m1 f18 m0 e20 f0 m8 e20 f9 m0 f11 m19
국도	f0 m13 e0 f3 m8
국도가	f0 m13 e0 f3 m8 f0 m0
국도는	f0 m13 e0 f3 m8 f2 m18 e3
국도랑	f0 m13 e0 f3 m8 f5 m0 e20
국도를	f0 m13 e0 f3 m8 f5 m18 e7
국도상황은	f0 m13 e0 f3 m8 f9 m0 e20 f18 m9 e20 f11 m18 e3
국도상황이	f0 m13 e0 f3 m8 f9 m0 e20 f18 m9 e20 f11 m20
국도입니다	f0 m13 e0 f3 m8 f11 m20 e16 f2 m20 f3 m0
국도중	f0 m13 e0 f3 m8 f12 m13 e20
국도하고	f0 m13 e0 f3 m8 f18 m0 f0 m8
국립	f0 m13 e0 f5 m20 e16
국립의료원은	f0 m13 e0 f5 m20 e16 f11 m19 f5 m12 f11 m14 e3 f11 m18 e3
국립의료원이	f0 m13 e0 f5 m20 e16 f11 m19 f5 m12 f11 m14 e3 f11 m20
국립중앙박물관이에요	f0 m13 e0 f5 m20 e16 f12 m13 e20 f11 m0 e20 f7 m0 e0 f6 m13 e7 f0 m9 e3 f11 m20 f11 m5 f11 m12
국면으로가	f0 m13 e0 f6 m6 e3 f11 m18 f5 m8 f0 m0
국무회의	f0 m13 e0 f6 m13 f18 m11 f11 m19
국민	f0 m13 e0 f6 m20 e3
국민들에게	f0 m13 e0 f6 m20 e3 f3 m18 e7 f11 m5 f0 m5
국민들은	f0 m13 e0 f6 m20 e3 f3 m18 e7 f11 m18 e3
국민들의	f0 m13 e0 f6 m20 e3 f3 m18 e7 f11 m19
국민들이	f0 m13 e0 f6 m20 e3 f3 m18 e7 f11 m20
국민부담금	f0 m13 e0 f6 m20 e3 f7 m13 f3 m0 e15 f0 m18 e15
국민세금부담	f0 m13 e0 f6 m20 e3 f9 m5 f0 m18 e15 f7 m13 f3 m0 e15
국민에게	f0 m13 e0 f6 m20 e3 f11 m5 f0 m5
국민연금	f0 m13 e0 f6 m20 e3 f11 m6 e3 f0 m18 e15
국민연금기금	f0 m13 e0 f6 m20 e3 f11 m6 e3 f0 m18 e15 f0 m20 f0 m18 e15
국민연금으로	f0 m13 e0 f6 m20 e3 f11 m6 e3 f0 m18 e15 f11 m18 f5 m8
국민은	f0 m13 e0 f6 m20 e3 f11 m18 e3
국민은행	f0 m13 e0 f6 m20 e3 f11 m18 e3 f18 m1 e20
국민은행과	f0 m13 e0 f6 m20 e3 f11 m18 e3 f18 m1 e20 f0 m9
국민은행에서	f0 m13 e0 f6 m20 e3 f11 m18 e3 f18 m1 e20 f11 m5 f9 m4
국민은행이	f0 m13 e0 f6 m20 e3 f11 m18 e3 f18 m1 e20 f11 m20
국민은행이에요	f0 m13 e0 f6 m20 e3 f11 m18 e3 f18 m1 e20 f11 m20 f11 m5 f11 m12
국민은행입니다	f0 m13 e0 f6 m20 e3 f11 m18 e3 f18 m1 e20 f11 m20 e16 f2 m20 f3 m0
국민을	f0 m13 e0 f6 m20 e3 f11 m18 e7
국민의	f0 m13 e0 f6 m20 e3 f11 m19
국민이	f0 m13 e0 f6 m20 e3 f11 m20
국민카드의	f0 m13 e0 f6 m20 e3 f15 m0 f3 m18 f11 m19
국민회의	f0 m13 e0 f6 m20 e3 f18 m11 f11 m19
국보법	f0 m13 e0 f7 m8 f7 m4 e16
국보입니다	f0 m13 e0 f7 m8 f11 m20 e16 f2 m20 f3 m0
국산	f0 m13 e0 f9 m0 e3
국선	f0 m13 e0 f9 m4 e3
국세청	f0 m13 e0 f9 m5 f14 m4 e20
국승호라고	f0 m13 e0 f9 m18 e20 f18 m8 f5 m0 f0 m8
국악	f0 m13 e0 f11 m0 e0
국악검색	f0 m13 e0 f11 m0 e0 f0 m4 e15 f9 m1 e0
국악검색도	f0 m13 e0 f11 m0 e0 f0 m4 e15 f9 m1 e0 f3 m8
국악검색을	f0 m13 e0 f11 m0 e0 f0 m4 e15 f9 m1 e0 f11 m18 e7
국악도	f0 m13 e0 f11 m0 e0 f3 m8
국악으로	f0 m13 e0 f11 m0 e0 f11 m18 f5 m8
국악은	f0 m13 e0 f11 m0 e0 f11 m18 e3
국악을	f0 m13 e0 f11 m0 e0 f11 m18 e7
국악음악도	f0 m13 e0 f11 m0 e0 f11 m18 e15 f11 m0 e0 f3 m8
국악음악을	f0 m13 e0 f11 m0 e0 f11 m18 e15 f11 m0 e0 f11 m18 e7
국악이	f0 m13 e0 f11 m0 e0 f11 m20
국악쪽	f0 m13 e0 f11 m0 e0 f13 m8 e0
국악쪽도	f0 m13 e0 f11 m0 e0 f13 m8 e0 f3 m8
국어	f0 m13 e0 f11 m4
국어에요	f0 m13 e0 f11 m4 f11 m5 f11 m12
국외사업장입니다	f0 m13 e0 f11 m11 f9 m0 f11 m4 e16 f12 m0 e20 f11 m20 e16 f2 m20 f3 m0
국유화입니다	f0 m13 e0 f11 m17 f18 m9 f11 m20 e16 f2 m20 f3 m0
국익	f0 m13 e0 f11 m20 e0
국익외교	f0 m13 e0 f11 m20 e0 f11 m11 f0 m12
국익외교표방입니다	f0 m13 e0 f11 m20 e0 f11 m11 f0 m12 f17 m12 f7 m0 e20 f11 m20 e16 f2 m20 f3 m0
국장	f0 m13 e0 f12 m0 e20
국장은	f0 m13 e0 f12 m0 e20 f11 m18 e3
국정	f0 m13 e0 f12 m4 e20
국정원	f0 m13 e0 f12 m4 e20 f11 m14 e3
국정원장	f0 m13 e0 f12 m4 e20 f11 m14 e3 f12 m0 e20
국정원장도	f0 m13 e0 f12 m4 e20 f11 m14 e3 f12 m0 e20 f3 m8
국제	f0 m13 e0 f12 m5
국제뉴스에는	f0 m13 e0 f12 m5 f2 m17 f9 m18 f11 m5 f2 m18 e3
국제유가	f0 m13 e0 f12 m5 f11 m17 f0 m0
국제유가가	f0 m13 e0 f12 m5 f11 m17 f0 m0 f0 m0
국제유가는	f0 m13 e0 f12 m5 f11 m17 f0 m0 f2 m18 e3
국제정공	f0 m13 e0 f12 m5 f12 m4 e20 f0 m8 e20
국제협력	f0 m13 e0 f12 m5 f18 m6 e16 f5 m6 e0
국찬이에게	f0 m13 e0 f14 m0 e3 f11 m20 f11 m5 f0 m5
국회	f0 m13 e0 f18 m11
국회에서	f0 m13 e0 f18 m11 f11 m5 f9 m4
국회의사당	f0 m13 e0 f18 m11 f11 m19 f9 m0 f3 m0 e20
국회의원	f0 m13 e0 f18 m11 f11 m19 f11 m14 e3
군	f0 m13 e3
군대	f0 m13 e3 f3 m1
군대가	f0 m13 e3 f3 m1 f0 m0
군대동기모임	f0 m13 e3 f3 m1 f3 m8 e20 f0 m20 f6 m8 f11 m20 e15
군대를	f0 m13 e3 f3 m1 f5 m18 e7
군데	f0 m13 e3 f3 m5
군만두	f0 m13 e3 f6 m0 e3 f3 m13
군면제	f0 m13 e3 f6 m6 e3 f12 m5
군복을	f0 m13 e3 f7 m8 e0 f11 m18 e7
군부대에	f0 m13 e3 f7 m13 f3 m1 f11 m5
군사	f0 m13 e3 f9 m0
군사를	f0 m13 e3 f9 m0 f5 m18 e7
군사위	f0 m13 e3 f9 m0 f11 m16
군산	f0 m13 e3 f9 m0 e3
군에	f0 m13 e3 f11 m5
군은	f0 m13 e3 f11 m18 e3
군의	f0 m13 e3 f11 m19
군이	f0 m13 e3 f11 m20
군인	f0 m13 e3 f11 m20 e3
군인들이	f0 m13 e3 f11 m20 e3 f3 m18 e7 f11 m20
군인이	f0 m13 e3 f11 m20 e3 f11 m20
군천이한테	f0 m13 e3 f14 m4 e3 f11 m20 f18 m0 e3 f16 m5
군포	f0 m13 e3 f17 m8
굳게	f0 m13 e6 f0 m5
굳세어라	f0 m13 e6 f9 m5 f11 m4 f5 m0
굳어	f0 m13 e6 f11 m4
굳어졌다	f0 m13 e6 f11 m4 f12 m6 e19 f3 m0
굳은	f0 m13 e6 f11 m18 e3
굳이	f0 m13 e6 f11 m20
굴	f0 m13 e7
굴러	f0 m13 e7 f5 m4
굴비	f0 m13 e7 f7 m20
굴비상자	f0 m13 e7 f7 m20 f9 m0 e20 f12 m0
굵은	f0 m13 e8 f11 m18 e3
굶겨가	f0 m13 e9 f0 m6 f0 m0
굶주린	f0 m13 e9 f12 m13 f5 m20 e3
굶지	f0 m13 e9 f12 m20
굼금해	f0 m13 e15 f0 m18 e15 f18 m1
굼뜨니	f0 m13 e15 f4 m18 f2 m20
굽혀	f0 m13 e16 f18 m6
굿	f0 m13 e18
굿모닝	f0 m13 e18 f6 m8 f2 m20 e20
굿모닝이에요	f0 m13 e18 f6 m8 f2 m20 e20 f11 m20 f11 m5 f11 m12
굿모닝힐이	f0 m13 e18 f6 m8 f2 m20 e20 f18 m20 e7 f11 m20
굿샷입니다	f0 m13 e18 f9 m2 e18 f11 m20 e16 f2 m20 f3 m0
굿타임	f0 m13 e18 f16 m0 f11 m20 e15
궁금증	f0 m13 e20 f0 m18 e15 f12 m18 e20
궁금증을	f0 m13 e20 f0 m18 e15 f12 m18 e20 f11 m18 e7
궁금하거든	f0 m13 e20 f0 m18 e15 f18 m0 f0 m4 f3 m18 e3
궁금하게	f0 m13 e20 f0 m18 e15 f18 m0 f0 m5
궁금하구나	f0 m13 e20 f0 m18 e15 f18 m0 f0 m13 f2 m0
궁금하네	f0 m13 e20 f0 m18 e15 f18 m0 f2 m5
궁금하다	f0 m13 e20 f0 m18 e15 f18 m0 f3 m0
궁금하다고	f0 m13 e20 f0 m18 e15 f18 m0 f3 m0 f0 m8
궁금하세요	f0 m13 e20 f0 m18 e15 f18 m0 f9 m5 f11 m12
궁금하신	f0 m13 e20 f0 m18 e15 f18 m0 f9 m20 e3
궁금하신가요	f0 m13 e20 f0 m18 e15 f18 m0 f9 m20 e3 f0 m0 f11 m12
궁금하신걸	f0 m13 e20 f0 m18 e15 f18 m0 f9 m20 e3 f0 m4 e7
궁금한	f0 m13 e20 f0 m18 e15 f18 m0 e3
궁금한게	f0 m13 e20 f0 m18 e15 f18 m0 e3 f0 m5
궁금한데	f0 m13 e20 f0 m18 e15 f18 m0 e3 f3 m5
궁금해	f0 m13 e20 f0 m18 e15 f18 m1
궁금해서	f0 m13 e20 f0 m18 e15 f18 m1 f9 m4
궁금해하시네	f0 m13 e20 f0 m18 e15 f18 m1 f18 m0 f9 m20 f2 m5
권	f0 m14 e3
권력	f0 m14 e3 f5 m6 e0
권력을	f0 m14 e3 f5 m6 e0 f11 m18 e7
권력의	f0 m14 e3 f5 m6 e0 f11 m19
권리가	f0 m14 e3 f5 m20 f0 m0
권리를	f0 m14 e3 f5 m20 f5 m18 e7
권민이	f0 m14 e3 f6 m20 e3 f11 m20
권민이랑	f0 m14 e3 f6 m20 e3 f11 m20 f5 m0 e20
권사장님	f0 m14 e3 f9 m0 f12 m0 e20 f2 m20 e15
권상우	f0 m14 e3 f9 m0 e20 f11 m13
권선아	f0 m14 e3 f9 m4 e3 f11 m0
권순일	f0 m14 e3 f9 m13 e3 f11 m20 e7
권순일이야	f0 m14 e3 f9 m13 e3 f11 m20 e7 f11 m20 f11 m2
권영숙	f0 m14 e3 f11 m6 e20 f9 m13 e0
권영숙이야	f0 m14 e3 f11 m6 e20 f9 m13 e0 f11 m20 f11 m2
권영주	f0 m14 e3 f11 m6 e20 f12 m13
권영주야	f0 m14 e3 f11 m6 e20 f12 m13 f11 m2
권오균	f0 m14 e3 f11 m8 f0 m17 e3
권오중	f0 m14 e3 f11 m8 f12 m13 e20
권위를	f0 m14 e3 f11 m16 f5 m18 e7
권은수	f0 m14 e3 f11 m18 e3 f9 m13
권은수하고	f0 m14 e3 f11 m18 e3 f9 m13 f18 m0 f0 m8
권은영	f0 m14 e3 f11 m18 e3 f11 m6 e20
권은영에게	f0 m14 e3 f11 m18 e3 f11 m6 e20 f11 m5 f0 m5
권을	f0 m14 e3 f11 m18 e7
권이나	f0 m14 e3 f11 m20 f2 m0
권정인	f0 m14 e3 f12 m4 e20 f11 m20 e3
권주	f0 m14 e3 f12 m13
권총을	f0 m14 e3 f14 m8 e20 f11 m18 e7
권한	f0 m14 e3 f18 m0 e3
권한을	f0 m14 e3 f18 m0 e3 f11 m18 e7
권했다	f0 m14 e3 f18 m1 e19 f3 m0
권혁춘	f0 m14 e3 f18 m6 e0 f14 m13 e3
귀	f0 m16
귀가	f0 m16 f0 m0
귀걸이가	f0 m16 f0 m4 e7 f11 m20 f0 m0
귀경	f0 m16 f0 m6 e20
귀국	f0 m16 f0 m13 e0
귀국입니다	f0 m16 f0 m13 e0 f11 m20 e16 f2 m20 f3 m0
귀를	f0 m16 f5 m18 e7
귀성	f0 m16 f9 m4 e20
귀소입니다	f0 m16 f9 m8 f11 m20 e16 f2 m20 f3 m0
귀신이	f0 m16 f9 m20 e3 f11 m20
귀에	f0 m16 f11 m5
귀여운	f0 m16 f11 m6 f11 m13 e3
귀중한	f0 m16 f12 m13 e20 f18 m0 e3
귀천을	f0 m16 f14 m4 e3 f11 m18 e7
귀천이	f0 m16 f14 m4 e3 f11 m20
귀하신	f0 m16 f18 m0 f9 m20 e3
귀한	f0 m16 f18 m0 e3
규명	f0 m17 f6 m6 e20
규명은	f0 m17 f6 m6 e20 f11 m18 e3
규모	f0 m17 f6 m8
규모의	f0 m17 f6 m8 f11 m19
규정을	f0 m17 f12 m4 e20 f11 m18 e7
규정하고	f0 m17 f12 m4 e20 f18 m0 f0 m8
규제완화	f0 m17 f12 m5 f11 m9 e3 f18 m9
규제해	f0 m17 f12 m5 f18 m1
규칙	f0 m17 f14 m20 e0
규칙은	f0 m17 f14 m20 e0 f11 m18 e3
규칙을	f0 m17 f14 m20 e0 f11 m18 e7
규훈이	f0 m17 f18 m13 e3 f11 m20
균형을	f0 m17 e3 f18 m6 e20 f11 m18 e7
그	f0 m18
그가	f0 m18 f0 m0
그간	f0 m18 f0 m0 e3
그거	f0 m18 f0 m4
그거는	f0 m18 f0 m4 f2 m18 e3
그거를	f0 m18 f0 m4 f5 m18 e7
그거말고	f0 m18 f0 m4 f6 m0 e7 f0 m8
그거보다	f0 m18 f0 m4 f7 m8 f3 m0
그거야	f0 m18 f0 m4 f11 m2
그거에	f0 m18 f0 m4 f11 m5
그건	f0 m18 f0 m4 e3
그걸	f0 m18 f0 m4 e7
그걸로	f0 m18 f0 m4 e7 f5 m8
그것	f0 m18 f0 m4 e18
그것도	f0 m18 f0 m4 e18 f3 m8
그것들은	f0 m18 f0 m4 e18 f3 m18 e7 f11 m18 e3
그것들을	f0 m18 f0 m4 e18 f3 m18 e7 f11 m18 e7
그것들이	f0 m18 f0 m4 e18 f3 m18 e7 f11 m20
그것만	f0 m18 f0 m4 e18 f6 m0 e3
그것에	f0 m18 f0 m4 e18 f11 m5
그것으로	f0 m18 f0 m4 e18 f11 m18 f5 m8
그것은	f0 m18 f0 m4 e18 f11 m18 e3
그것을	f0 m18 f0 m4 e18 f11 m18 e7
그것의	f0 m18 f0 m4 e18 f11 m19
